,Nama Produk,Harga,Link Pembelian
64,Aamir ACHAR CHARGER Car Charger Dual-Port 5 V 2.4A Charger Kabel Cepat pengisian Adapter Dengan LED Display Untuk iPhone Samsung Xiaomi,Rp96.000,https://www.bukalapak.com/p/handphone/aksesoris-handphone/charger-177/3b0fgzh-jual-aamir-achar-charger-car-charger-dual-port-5-v-2-4a-charger-kabel-cepat-pengisian-adapter-dengan-led-display-untuk-iphone-samsung-xiaomi?from=list-product&pos=14
65,Charger iPhone X XR XS XS Max ORIGINAL 5V-1A Lightning Cable,Rp96.000,https://www.bukalapak.com/p/handphone/aksesoris-handphone/charger-177/16k3ifa-jual-charger-iphone-x-xr-xs-xs-max-original-5v-1a-lightning-cable?from=list-product&pos=15
66,Charger iPhone SE 5 5S 5C 5G ORIGINAL 5V-1A Lightning Cable,Rp96.000,https://www.bukalapak.com/p/handphone/aksesoris-handphone/charger-177/16k1bl3-jual-charger-iphone-se-5-5s-5c-5g-original-5v-1a-lightning-cable?from=list-product&pos=16
67,Adaptor Kepala Charger iPhone X XS XS MAX XR ORIGINAL 5 Watt 5V-1A,Rp96.000,https://www.bukalapak.com/p/handphone/aksesoris-handphone/charger-177/3q4u964-jual-adaptor-kepala-charger-iphone-x-xs-xs-max-xr-original-5-watt-5v-1a?from=list-product&pos=17
68,Adaptor Kepala Charger iPhone 5 5S iPhone 5C ORIGINAL 5 Watt 5V-1A,Rp96.000,https://www.bukalapak.com/p/handphone/aksesoris-handphone/charger-177/3q4sulk-jual-adaptor-kepala-charger-iphone-5-5s-iphone-5c-original-5-watt-5v-1a?from=list-product&pos=18
69,Adaptor Kepala Charger iPhone SE Series iPhone 11 ORIGINAL 5 Watt 5V-1A,Rp96.000,https://www.bukalapak.com/p/handphone/aksesoris-handphone/charger-177/3q4uoj6-jual-adaptor-kepala-charger-iphone-se-series-iphone-11-original-5-watt-5v-1a?from=list-product&pos=19
70,LCD TOUCHSCREEN IPHONE 6S,Rp96.000,https://www.bukalapak.com/p/handphone/spare-part-tools-handphone/34lho2d-jual-lcd-touchscreen-iphone-6s?from=list-product&pos=20
71,APPLE IPHONE 8 PLUS 64GB GOLD FU GSM ORIGINAL GARANSI 1 TAHUN,Rp96.000,https://www.bukalapak.com/p/handphone/hp-smartphone/3hxmcgk-jual-apple-iphone-8-plus-64gb-gold-fu-gsm-original-garansi-1-tahun?from=list-product&pos=21
72,iphone 8 plus 256 GB EX INTER,Rp96.000,https://www.bukalapak.com/p/handphone/hp-smartphone/2upl40h-jual-iphone-8-plus-256-gb-ex-inter?from=list-product&pos=22
73,IPHONE XR 128 SEKEN MULUS ORIGINAL,Rp96.000,https://www.bukalapak.com/p/handphone/tablet/2lntkmn-jual-iphone-xr-128-seken-mulus-original?from=list-product&pos=23
74,Apple iPhone 12 Pro 256GB Graphite Blue Gold Silver Garansi 1 Tahun,Rp96.000,https://www.bukalapak.com/p/handphone/hp-smartphone/3v0n7f2-jual-apple-iphone-12-pro-256gb-graphite-blue-gold-silver-garansi-1-tahun?from=list-product&pos=24
75,Tempered Glass Iphone X. XR. XS. XS Max. 11. 11 Pro. 11 Pro Max,Rp96.000,https://www.bukalapak.com/p/handphone/aksesoris-handphone/screen-guard/2itqnkw-jual-tempered-glass-iphone-x-xr-xs-xs-max-11-11-pro-11-pro-max?from=list-product&pos=25
